1: [14.164228043850741 14.164228043850741]
2: [14.039835621561334 13.928059137781702]
3: [14.14280515368227 14.166593164322709]
4: [14.236250066254101 12.140065415045061]
5: [14.119396987938376 11.986473685115172]
6: [14.319403684183285 12.030047206957892]
7: [14.37350715863371 12.336244544281708]
8: [14.074374726785853 11.878753173381963]
9: [14.140077669620046 11.900505651274287]
10: [14.061826612826067 14.054198804437146]
